Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Participants,Main Domain
A24524,Les Accords Toltèques : pour des relations positives,Classroom,Active,France,Collaboration,Discretionary,CMGA,Local,MS Teams,Virtual,-,3.0,0.0,0.0,38.94,0.0,2021,1212.0,Cross Accenture
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,275.0,0.0,2020,10.0,Sales
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,275.0,0.0,2020,10.0,Sales
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,275.0,0.0,2021,18.0,Sales
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,275.0,0.0,2021,18.0,Sales
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,187.5,0.0,2022,26.0,Sales
A24599,Selling Security Deals - Virtual,Classroom,Active,France,Client Relationship Management,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,-,24.0,0.0,0.0,187.5,0.0,2022,26.0,Sales
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,Live Meeting,Classroom,-,2.5,0.0,0.0,245.83,0.0,2019,8.0,Leadership Development
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,Live Meeting,Classroom,-,2.5,0.0,0.0,245.83,0.0,2019,8.0,Leadership Development
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,122.915,0.0,2020,17.0,Leadership Development
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,122.915,0.0,2020,17.0,Leadership Development
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,213.045,0.0,2021,26.0,Leadership Development
A24627,La diversité chez Accenture,Classroom,Active,France,Coaching,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,213.045,0.0,2021,26.0,Leadership Development
A24644,Make it Inclusive: Workshop LGBT,Classroom,Active,France,Leadership Development,Discretionary,ACCORDIA,Local,MS Teams,Virtual,"Organization, Leadership & Culture",2.5,0.0,0.0,245.83,0.0,2020,9.0,Leadership Developpment
A24644,Make it Inclusive: Workshop LGBT,Classroom,Active,France,Leadership Development,Discretionary,ACCORDIA,Local,MS Teams,Virtual,"Organization, Leadership & Culture",2.5,0.0,0.0,245.83,0.0,2020,9.0,Leadership Development
A24644,Make it Inclusive: Workshop LGBT,Classroom,Active,France,Leadership Development,Discretionary,ACCORDIA,Local,MS Teams,Virtual,"Organization, Leadership & Culture",2.5,0.0,0.0,491.66,0.0,2021,17.0,Leadership Developpment
A24644,Make it Inclusive: Workshop LGBT,Classroom,Active,France,Leadership Development,Discretionary,ACCORDIA,Local,MS Teams,Virtual,"Organization, Leadership & Culture",2.5,0.0,0.0,491.66,0.0,2021,17.0,Leadership Development
A24687,Make it Inclusive: Workshop Conviction religieuses,Classroom,Active,France,Communication Protocols,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,491.66,0.0,2021,6.0,Leadership Development
A24687,Make it Inclusive: Workshop Conviction religieuses,Classroom,Active,France,Communication Protocols,Discretionary,ACCORDIA,Local,MS Teams,Virtual,-,2.5,0.0,0.0,491.66,0.0,2021,6.0,Leadership Development
A24803,SAP Certification Preparation – SAP S/4HANA Production Planning and Manufacturing (1709),Classroom,Active,France,SAP Manufacturing Execution System,Discretionary,Accenture Local,Local,Live Meeting,Classroom,SAP Manufacturing,24.0,0.0,0.0,0.0,0.0,2019,11.0,IPS
