Course Name,Course Type,Course Status,Country/Territory,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Course Hours,Year,Participants,Main Domain
PASS RECRUTEMENT 3 JD : Entraînement à l’entretien de recrutement d'un Jeune Diplômé,Classroom,Active,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2021,39.0,Cross Accenture
PASS RECRUTEMENT 3 JD : Entraînement à l’entretien de recrutement d'un Jeune Diplômé,Classroom,Active,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2022,45.0,Cross Accenture
PASS RECRUTEMENT 3 JD : Entraînement à l’entretien de recrutement d'un Jeune Diplômé,Classroom,Active,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2022,45.0,Cross Accenture
Commercial Savviness,Classroom,Active,France,Discretionary,BTS,Central,MS Teams,Virtual,12.0,2021,1.0,Cross Accenture
Commercial Savviness,Classroom,Active,France,Discretionary,BTS,Central,MS Teams,Virtual,12.0,2021,1.0,Cross Accenture
Commercial Savviness,Classroom,Active,Mauritius,Discretionary,BTS,Central,MS Teams,Virtual,12.0,2022,5.0,Cross Accenture
Commercial Savviness,Classroom,Active,Mauritius,Discretionary,BTS,Central,MS Teams,Virtual,12.0,2022,5.0,Cross Accenture
VIRTUAL - KAFKA Developpeur Avancé,Classroom,Active,France,Discretionary,CONFLUENT,Local,MS Teams,Virtual,24.0,2021,5.0,Cross Accenture
VIRTUAL - KAFKA Developpeur Avancé,Classroom,Active,France,Discretionary,CONFLUENT,Local,MS Teams,Virtual,24.0,2021,5.0,Cross Accenture
ACE+ Sandbox Walkthrough: Genesys,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,3.0,Cross Accenture
ECRSN (Éco)conception responsable de service numérique,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,17.3,2021,1.0,Sustainability
NTATC VIRTUAL Intégration SD / FI-AR sur ECC,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.5,2021,10.0,Cross Accenture
NTATC VIRTUAL Intégration SD / FI-AR sur ECC,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.5,2021,10.0,Cross Accenture
VIRTUAL: SAP Analytics Cloud,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2020,19.0,Cloud First
VIRTUAL - Essential of Corporate Finance (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,37.0,Sales
VIRTUAL - Market Sizing basics (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,57.0,Sales
VIRTUAL - Advanced Powerpoint (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,33.0,Sales
VIRTUAL - Advanced Excel (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,49.0,Sales
VIRTUAL - Design a strategic proposal (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,47.0,Sales
Design Thinking Academy - STRATE,Classroom,Active,France,Discretionary,STRATE,Central,-,Classroom,24.0,2019,270.0,Cross Accenture
Design Thinking Academy - STRATE,Classroom,Active,France,Discretionary,STRATE,Central,-,Classroom,24.0,2020,655.0,Cross Accenture
NTATC VIRTUAL Archivage,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.5,2021,9.0,Cross Accenture
NTATC VIRTUAL Archivage,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.5,2021,9.0,Cross Accenture
GTW: Power Automate - Mobile App (CIO Technology Bytesize Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,0.5,2021,90.0,Cross Technology
GTW: Power Automate - Mobile App (CIO Technology Bytesize Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,0.5,2021,90.0,Cross Technology
PASS RECRUTEMENT 3 XP : Entraînement à l’entretien de recrutement d'un Expérimenté,Classroom,Cancelled,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2020,3.0,Cross Accenture
PASS RECRUTEMENT 3 XP : Entraînement à l’entretien de recrutement d'un Expérimenté,Classroom,Cancelled,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2020,3.0,Cross Accenture
PASS RECRUTEMENT 3 XP : Entraînement à l’entretien de recrutement d'un Expérimenté,Classroom,Cancelled,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2021,10.0,Cross Accenture
PASS RECRUTEMENT 3 XP : Entraînement à l’entretien de recrutement d'un Expérimenté,Classroom,Cancelled,France,Discretionary,Gereso,Local,MS Teams,Virtual,3.0,2021,10.0,Cross Accenture
Accenture Technology Lateral Hire Experience Self-study,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,12.0,2021,10.0,Cross Technology
Accenture Technology Lateral Hire Experience Self-study,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,12.0,2021,10.0,Cross Technology
GTW: Microsoft Forms - An Introduction (CIO Technology Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,490.0,Cross Technology
GTW: Microsoft Forms - An Introduction (CIO Technology Workshop),Classroom,Active,Netherlands,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,495.0,Cross Technology
GTW EMEA: PowerPoint - An Introduction to QPT (CIO Technology Workshop),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,-,Virtual,1.0,2020,38.0,Cross Technology
GTW EMEA: PowerPoint - An Introduction to QPT (CIO Technology Workshop),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2019,12.0,Cross Technology
GTW AMR: PowerPoint - An Introduction to QPT (CIO Technology Workshop),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,-,Virtual,1.0,2020,8.0,Cross Technology
GTW AMR: PowerPoint - An Introduction to QPT (CIO Technology Workshop),Classroom,Cancelled,Netherlands,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2019,1.0,Cross Technology
Process Mining Level 2 - Data Analyst,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,9.0,Cross Accenture
Process Mining Level 2 - Data Analyst,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,9.0,Cross Accenture
Process Mining Level 2 - Data Analyst,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,34.0,Cross Accenture
Process Mining Level 2 - Data Analyst,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,34.0,Cross Accenture
Cloud Change Practitioner Academy V1,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,12.0,2021,30.0,Cloud First
Cloud Change Practitioner Academy V1,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,12.0,2021,30.0,Cloud First
VIRTUAL - Storyline basics & Synthesis (Strategy only),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,23.0,Sales
NTATC - Performance des requêtes Oracle : diagnostique et corrections,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,6.0,2021,4.0,IPS
NTATC - Performance des requêtes Oracle : diagnostique et corrections,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,6.0,2021,4.0,IPS
Advanced industrialization of a Data Science project,Classroom,Cancelled,France,Discretionary,OCTO,Local,MS Teams,Virtual,24.0,2021,4.0,Core Curriculum
VIRTUAL: Formation sur SAP Analytics cloud : DataViz et Planning,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2020,10.0,Cloud First
OrgVue 3: Transformation Training,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,4.0,2020,28.0,Cross Accenture
T&O/ Human Potential with Energy Industry Exemplars,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,Zoom,Virtual,1.5,2020,5.0,Industry/Fonction
VIRTUAL - KAFKA Administrateur Avancé,Classroom,Active,France,Discretionary,CONFLUENT,Local,MS Teams,Virtual,24.0,2021,5.0,Cross Accenture
VIRTUAL - KAFKA Administrateur Avancé,Classroom,Active,France,Discretionary,CONFLUENT,Local,MS Teams,Virtual,24.0,2021,5.0,Cross Accenture
Digital Decoupling for SAP – Delivery Training,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,14.0,2020,6.0,IPS
V&A Integration Overview for Controllership,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,12.0,Cross Accenture
V&A Integration Overview for Controllership,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,12.0,Cross Accenture
S&PP Virtual Learning Series: Relationship Management,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,3.0,Delivery
S&PP Virtual Learning Series: Relationship Management,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,3.0,Delivery
S&PP Virtual Learning Series: Negotiation,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,3.0,Sales
S&PP Virtual Learning Series: Negotiation,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,3.0,Sales
NTATC VIRTUAL : Structure organisationnelle FI,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.5,2021,10.0,Cross Accenture
NTATC VIRTUAL : Structure organisationnelle FI,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.5,2021,10.0,Cross Accenture
VIRTUAL - Docker Kubernetes,Classroom,Active,France,Discretionary,ORSYS,Local,MS Teams,Virtual,24.0,2021,9.0,Cross Accenture
VIRTUAL - Docker Kubernetes,Classroom,Active,France,Discretionary,ORSYS,Local,MS Teams,Virtual,24.0,2021,9.0,Cross Accenture
GTW EMEA: Microsoft Planner - An Introduction (CIO Technology Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,-,Virtual,1.0,2020,72.0,Cross Technology
GTW EMEA: Microsoft Planner - An Introduction (CIO Technology Workshop),Classroom,Active,Netherlands,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2019,12.0,Cross Technology
Sensibilisation à la formation OneStock,Classroom,Cancelled,France,Discretionary,OneStock,Local,MS Teams,Virtual,7.0,2021,4.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Required,Accenture Central,Central,Desire2Learn,Virtual,42.0,2019,60.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Required,Accenture Central,Central,Desire2Learn,Virtual,42.0,2019,60.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,42.0,2020,330.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,42.0,2020,330.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,42.0,2021,576.0,Cross Accenture
Accenture - INSEAD Online Module 1: Business Strategy and Financial Acumen,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,42.0,2021,576.0,Cross Accenture
Europe Innovation Week,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,290.0,Cross Accenture
Europe Innovation Week,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,290.0,Cross Accenture
Customer Network Call & Learn Series,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2021,663.0,Cross Accenture
Customer Network Call & Learn Series,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2021,663.0,Cross Accenture
Customer Network Call & Learn Series,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2022,806.0,Cross Accenture
Customer Network Call & Learn Series,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.0,2022,806.0,Cross Accenture
Technology Architecture Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2021,192.0,Cross Technology
Technology Architecture Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2021,192.0,Cross Technology
Technology Architecture Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2022,224.0,Cross Technology
Technology Architecture Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2022,224.0,Cross Technology
Technology Architecture Fundamentals,Classroom,Active,Belgium,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2020,48.0,Cross Technology
Technology Architecture Fundamentals,Classroom,Active,Belgium,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2020,48.0,Cross Technology
La CNV appliquée au feedback 360° - T&O France only,Classroom,Active,France,Discretionary,CSP,Local,MS Teams,Virtual,8.0,2021,24.0,Cross Accenture
La CNV appliquée au feedback 360° - T&O France only,Classroom,Active,France,Discretionary,CSP,Local,MS Teams,Virtual,8.0,2021,24.0,Cross Accenture
Certified Scrum Product Owner,Classroom,Cancelled,France,Discretionary,Agilbee,Local,MS Teams,Virtual,14.0,2020,21.0,Core Curriculum
Strategies for Inclusive Leadership,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2020,4.0,Leadership Development
Diamond Leadership Council Summit,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2021,28.0,Leadership Development
Diamond Leadership Council Summit,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2021,28.0,Leadership Development
Elite Delivery Lead - Luminary Speaker Session,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,25.0,Delivery
Elite Delivery Lead - Luminary Speaker Session,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,25.0,Delivery
Design d’interfaces accessibles : concevoir pour tous les utilisateurs,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,14.0,2021,1.0,Cross Accenture
Culture code : manager la qualité,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,7.0,2021,3.0,Cross Accenture
Revue de code,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,7.0,2021,12.0,Cross Accenture
Qualité des développements avec Test Driven Development,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,14.0,2021,4.0,IPS
Test Driven Development sur du code legacy,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,21.0,2021,1.0,IPS
VIRTUAL : Préparation PSE Fondation et certifications,Classroom,Active,France,Discretionary,Exclusive Networks,Local,MS Teams,Virtual,3.0,2021,6.0,Cross Accenture
VIRTUAL : Préparation PSE Fondation et certifications,Classroom,Active,France,Discretionary,Exclusive Networks,Local,MS Teams,Virtual,3.0,2021,6.0,Cross Accenture
Federated Learning workshop,Classroom,Active,France,Discretionary,Owkin,Local,MS Teams,Virtual,2.5,2020,18.0,Cross Accenture
Federated Learning workshop,Classroom,Active,France,Discretionary,Owkin,Local,MS Teams,Virtual,2.5,2020,18.0,Cross Accenture
Federated Learning workshop,Classroom,Active,France,Discretionary,Owkin,Local,MS Teams,Virtual,2.5,2021,33.0,Cross Accenture
Federated Learning workshop,Classroom,Active,France,Discretionary,Owkin,Local,MS Teams,Virtual,2.5,2021,33.0,Cross Accenture
Développement de soi,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2021,2.0,Cross Accenture
Développement de soi,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2021,2.0,Cross Accenture
Développement de soi,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2022,5.0,Cross Accenture
Développement de soi,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,11.0,2022,5.0,Cross Accenture
Coupa Platform Certification,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,32.0,2021,26.0,Cross Accenture
Coupa Platform Certification,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,32.0,2021,26.0,Cross Accenture
Coupa Platform Certification,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,35.0,2022,32.0,Cross Accenture
Coupa Platform Certification,Classroom,Active,France,Discretionary,Coupa,Central,MS Teams,Virtual,35.0,2022,32.0,Cross Accenture
S&PP Virtual Learning Series: Design Thinking,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,1.0,Cross Accenture
S&PP Virtual Learning Series: Design Thinking,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,2.0,2021,1.0,Cross Accenture
Formation à l’outil de Costing Valoptia,Classroom,Cancelled,France,Discretionary,Cost House,Local,MS Teams,Virtual,16.0,2021,38.0,Cross Accenture
Formation à l’outil de Costing Valoptia,Classroom,Cancelled,France,Discretionary,Cost House,Local,MS Teams,Virtual,16.0,2021,38.0,Cross Accenture
Make it Inclusive: Workshop Multigenerationnel,Classroom,Active,France,Discretionary,ACCORDIA,Local,MS Teams,Virtual,2.5,2021,9.0,Leadership Development
Make it Inclusive: Workshop Multigenerationnel,Classroom,Active,France,Discretionary,ACCORDIA,Local,MS Teams,Virtual,2.5,2021,9.0,Leadership Development
Make it Inclusive: Workshop Multigenerationnel,Classroom,Active,France,Discretionary,ACCORDIA,Local,MS Teams,Virtual,2.5,2022,17.0,Leadership Development
Make it Inclusive: Workshop Multigenerationnel,Classroom,Active,France,Discretionary,ACCORDIA,Local,MS Teams,Virtual,2.5,2022,17.0,Leadership Development
Operations & Process Transformation Learning Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,258.0,Cross Accenture
Operations & Process Transformation Learning Series,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2021,258.0,Cross Accenture
ZBO Catalyst Virtual University:101- ZBO Intro,Virtual,Active,France,Discretionary,Accenture Central,Local,MS Teams,Virtual,3.0,2020,425.0,Cross Accenture
ZBO Catalyst Virtual University:101- ZBO Intro,Virtual,Active,France,Discretionary,Accenture Central,Local,MS Teams,Virtual,3.0,2020,425.0,Cross Accenture
ZBO Catalyst Virtual University:101- ZBO Intro,Virtual,Active,France,Discretionary,Accenture Central,Local,MS Teams,Virtual,3.0,2021,500.0,Cross Accenture
ZBO Catalyst Virtual University:101- ZBO Intro,Virtual,Active,France,Discretionary,Accenture Central,Local,MS Teams,Virtual,3.0,2021,500.0,Cross Accenture
VIRTUAL (Éco)conception responsable de service numérique,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,17.5,2021,22.0,Sustainability
VIRTUAL (Éco)conception responsable de service numérique,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,17.5,2021,22.0,Sustainability
VIRTUAL - Introduction Mirakl,Classroom,Cancelled,France,Discretionary,Mirakl,Local,MS Teams,Virtual,1.5,2020,10.0,Cross Accenture
VIRTUAL : Préparation PSE Associate Strata et certifications,Classroom,Active,France,Discretionary,Exclusive Networks,Local,MS Teams,Virtual,3.0,2021,4.0,Cross Accenture
VIRTUAL : Préparation PSE Associate Strata et certifications,Classroom,Active,France,Discretionary,Exclusive Networks,Local,MS Teams,Virtual,3.0,2021,4.0,Cross Accenture
Articulating Client Value,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,6.0,2021,90.0,Cross Accenture
Articulating Client Value,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,6.0,2021,90.0,Cross Accenture
NTATC - Oracle Cloud Infrastructure,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,12.0,2021,5.0,Cloud First
NTATC - Oracle Cloud Infrastructure,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,12.0,2021,5.0,Cloud First
Kinaxis and Accenture Rapid Response Product Overview,Classroom,Active,France,Discretionary,Kinaxis - GLOBAL,Central,MS Teams,Virtual,1.5,2021,50.0,Cross Accenture
Kinaxis and Accenture Rapid Response Product Overview,Classroom,Active,France,Discretionary,Kinaxis - GLOBAL,Central,MS Teams,Virtual,1.5,2021,50.0,Core Curriculum
Virtual Conduct Counts Learning Series for Accenture Security Executives,Classroom,Cancelled,France,Discretionary,Accenture Central,Local,MS Teams,Virtual,1.5,2020,58.0,Security
VIRTUAL : Culture Coach,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,28.0,Leadership Development
VIRTUAL : Culture Coach,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,28.0,Leadership Development
Share and Learn Series,Classroom,Active,France,Discretionary,Accenture Local,Local,-,Virtual,1.5,2020,1.0,Sales
E2E Business Processes in Retail with BlueYonder,Classroom,Cancelled,France,Discretionary,Blue Yonder,Central,MS Teams,Virtual,1.0,2020,120.0,Cross Accenture
Data Engineering on Google Cloud Platform,Classroom,Cancelled,France,Discretionary,Google,Central,MS Teams,Virtual,32.0,2020,4.0,Cloud First
Convergence Forum,Classroom,Active,France,Discretionary,Accenture Central,Central,Desire2Learn,Virtual,32.0,2020,63.0,Cross Accenture
Virtual - Zero waste,Classroom,Active,France,Discretionary,Zero Waste,Local,MS Teams,Virtual,1.5,2021,20.0,Sustainability
Virtual - Zero waste,Classroom,Active,France,Discretionary,Zero Waste,Local,MS Teams,Virtual,1.5,2021,20.0,Sustainability
Strategic Redlining in Legal,Classroom,Active,France,Discretionary,Accenture - Classroom,Local,MS Teams,Virtual,0.0,2021,3.0,Cross Accenture
Strategic Redlining in Legal,Classroom,Active,France,Discretionary,Accenture - Classroom,Local,MS Teams,Virtual,0.0,2021,3.0,Cross Accenture
SAFe® 5.0 Lean Portfolio Management with LPM Certification,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2020,343.0,Delivery
SAFe® 5.0 Lean Portfolio Management with LPM Certification,Classroom,Active,Netherlands,Discretionary,Accenture Local,Local,MS Teams,Virtual,17.5,2021,399.0,Delivery
Devenir product manager,Classroom,Active,France,Discretionary,OCTO,Local,MS Teams,Virtual,21.0,2021,1.0,Core Curriculum
GTW EMEA: Excel - An Introduction to Logic Functions (CIO Technology Workshop),Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.0,2020,396.0,Cross Technology
Sustainable IT awareness,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,340.0,Sustainability
Sustainable IT awareness,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,340.0,Sustainability
Sustainable IT awareness,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2022,444.0,Sustainability
Sustainable IT awareness,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2022,444.0,Sustainability
Sensibilisation à l'accessibilité,Classroom,Cancelled,France,Discretionary,Koena,Local,Live Meeting,Classroom,7.0,2020,42.0,Leadership Development
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,France,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2020,126.0,Cross Accenture
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,France,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2020,126.0,Sustainability
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,France,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2021,297.0,Cross Accenture
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,France,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2021,297.0,Sustainability
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,Netherlands,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2022,360.0,Cross Accenture
Base Camp Learning Experience – Build sustainability and social innovation skills,Classroom,Active,Netherlands,Discretionary,Hyper Island,Central,MS Teams,Virtual,20.0,2022,360.0,Sustainability
Marketing de soi,Classroom,Active,France,Discretionary,DIAFORA,Local,MS Teams,Virtual,7.0,2021,3.0,Cross Accenture
A&D - Skywise Module 1,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,16.0,Cross Accenture
A&D - Skywise Module 2,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2020,1.0,Cross Accenture
A&D - Skywise Module 2,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2021,6.0,Cross Accenture
A&D - Skywise Module 3,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2021,4.0,Cross Accenture
Enterprise Business Agility Strategist,Classroom,Active,France,Discretionary,Accenture Local,Central,MS Teams,Virtual,16.0,2020,6.0,Core Curriculum
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,21.0,2019,7.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,21.0,2019,7.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,40.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,40.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,85.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2021,85.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2022,91.0,IPS
Préparation à la certification SAP S4 Finance,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2022,91.0,IPS
ISC2 - CSSLP -Certified Secure Software Lifecycle Professional Certification Prep Training ​- Virtual,Classroom,Active,France,Discretionary,(ISC2) - Global,Central,MS Teams,Virtual,40.0,2021,10.0,Sustainability
ISC2 - CSSLP -Certified Secure Software Lifecycle Professional Certification Prep Training ​- Virtual,Classroom,Active,France,Discretionary,(ISC2) - Global,Central,MS Teams,Virtual,40.0,2021,10.0,Sustainability
LEAN STARTUP : L’essentiel en 2h - Module 1,Classroom,Active,France,Discretionary,SAS Studiio (H2 University),Local,Live Meeting,Classroom,2.0,2019,64.0,Cross Accenture
LEAN STARTUP : L’essentiel en 2h - Module 1,Classroom,Active,France,Discretionary,SAS Studiio (H2 University),Local,Live Meeting,Classroom,2.0,2020,124.0,Cross Accenture
ONLY NANTES: VIRTUAL : Initiation ABAP Objet,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,7.0,2020,4.0,Cross Accenture
ServiceNow Project Portfolio Management Fundamentals,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,16.0,2021,9.0,Cloud First
